jedyorkgoat	@bdepouw09 @OhioState @NCAA suck my ass
bdepouw09	@jedyorkgoat @OhioState @NCAA Go War Eagles
MahSafeCom	Halftime is over. Have u designated a #SoberDriver 2 get u home from celebrating the @OhioState win over the #TTUN?… https://t.co/ayKJCpvSEU
Aziefaison2	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
randy_wexler	One half left in #TheGame and I'm ready! #GoBuckeyes #GoBucks #ohiostate #BeatMichigan  @OhioStateDaily… https://t.co/4as7tS5Eqw
OhioPJP	RT @sfalliance: .@OhioState and @UMich students team up for farmworker justice at rivalry football game! Hundreds are learning about @ciw's…
Mgriff45243	RT @OhioState: Looking for a university where faculty support students to solve real-world problems? Look no further. https://t.co/rHk5DZQs…
amagda5	Starting them young...I-O! @OhioStateFB @OhioState @OhioStAthletics https://t.co/3xhQ8AYMDd
EwaMatuszewski	Congrats @OhioState for finding a perfect solution for one important #SDOH: #Unityfridge Communities could use many more Maggie Griffin’s!
amagda5	Starting them young...O-H! @OhioStateFB @OhioStAthletics @OhioState https://t.co/xagvOfHqfF
joci_lyn	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
_maddie_af	RT @ButlerBlue3: Wait, @ButlerMBB plays @OhioState on Sunday? I’m going to need the next 24 hours to get emotionally prepared. #PK80 #GoDaw…
facts_exist	Puzzled by the halftime program of Dvorak, Tschaikovsky, and Shostakovich from @OhioState's marching band. Are they… https://t.co/lPAxZo3wpS
ThackreySherry	RT @OhioState: Unity Fridge will help students access nutritious food. It also helped Maggie Griffin earn our Presidents' Prize. https://t.…
Brooke_Busby2	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
julieco345	@OhioState Gotta WATCH the game! Need my 👀 for that.
sarlaraa	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
jacksonAHS	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
NJ2TheCity	Shout Out GodBless @OhioState 's very own Maggie griffin with her social work on local farming 2 help those in need… https://t.co/EnNjoh1Cnb
LisaLselmek	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
bdepouw09	@Brooks205FFL @OhioState @NCAA It’s going to happen, just watch
